64;Europe/Minsk
204;Indian/Antananarivo
170;Europe/Jersey
189;Asia/Vientiane
202;Europe/Chisinau
119;America/Guayaquil
93;Africa/Bangui
367;Africa/Harare
115;Europe/Copenhagen
326;America/Indiana/Indianapolis
17;America/Argentina/San_Luis
251;Pacific/Tahiti
85;America/Pangnirtung
214;Pacific/Saipan
338;America/Phoenix
206;Pacific/Kwajalein
104;Asia/Harbin
109;Atlantic/Cape_Verde
314;Europe/Istanbul
228;America/Chihuahua
230;America/Santa_Isabel
23;Australia/Adelaide
263;Pacific/Palau
195;Africa/Maseru
141;America/Cayenne
256;Europe/Warsaw
315;America/Port_of_Spain
257;America/Miquelon
198;Europe/Riga
89;America/Thunder_Bay
229;America/Mazatlan
112;Europe/Berlin
186;Asia/Oral
334;America/Detroit
105;Asia/Yakutsk
135;Atlantic/Faroe
292;Arctic/Longyearbyen
285;Asia/Riyadh
345;America/Boise
90;America/Dawson
24;Australia/Darwin
161;Asia/Jayapura
69;America/Toronto
120;Pacific/Galapagos
75;America/Moncton
331;America/Indiana/Petersburg
169;Europe/Rome
302;Asia/Damascus
76;America/Dawson_Creek
163;Europe/Dublin
212;Asia/Choibalsan
7;Africa/Luanda
246;Pacific/Auckland
265;Asia/Qatar
107;America/Costa_Rica
172;Asia/Amman
179;Indian/Comoro
242;Europe/Amsterdam
48;America/Maceio
323;Africa/Kampala
156;Europe/Zagreb
205;Pacific/Majuro
152;Africa/Bissau
131;Pacific/Fiji
52;America/Araguaina
196;Europe/Vilnius
15;America/Argentina/La_Rioja
266;Indian/Reunion
363;Asia/Aden
88;America/Swift_Current
173;Asia/Tokyo
294;Africa/Freetown
293;Europe/Bratislava
123;Africa/El_Aaiun
175;Asia/Bishkek
29;Australia/Broken_Hill
34;Asia/Dhaka
114;Africa/Djibouti
352;America/Nome
58;America/Eirunepe
84;America/Inuvik
348;America/North_Dakota/New_Salem
240;Africa/Lagos
132;Pacific/Chuuk
74;America/St_Johns
44;America/Kralendijk
106;America/Bogota
275;Asia/Novosibirsk
182;Asia/Seoul
43;America/La_Paz
335;America/Indiana/Knox
168;Atlantic/Reykjavik
35;Europe/Brussels
143;Africa/Accra
328;America/Indiana/Tell_City
40;Africa/Porto-Novo
264;America/Asuncion
41;Atlantic/Bermuda
113;Europe/Busingen
83;America/Goose_Bay
271;Europe/Volgograd
319;Europe/Simferopol
146;Africa/Conakry
111;Europe/Prague
225;America/Merida
250;America/Lima
153;America/Guyana
277;Asia/Omsk
366;Africa/Lusaka
295;Europe/San_Marino
223;America/Mexico_City
258;America/Puerto_Rico
261;Atlantic/Madeira
324;America/Chicago
70;America/Halifax
178;Pacific/Kiritimati
14;America/Argentina/Rio_Gallegos
150;America/Guatemala
26;Australia/Sydney
157;America/Port-au-Prince
82;America/Whitehorse
300;Africa/Sao_Tome
37;Europe/Sofia
28;Australia/Melbourne
91;Africa/Lubumbashi
100;Asia/Chongqing
290;Atlantic/St_Helena
237;Africa/Windhoek
95;Europe/Zurich
322;Europe/Uzhgorod
327;America/Indiana/Vincennes
340;America/Denver
253;Pacific/Port_Moresby
235;Asia/Kuching
232;America/Bahia_Banderas
336;America/Indiana/Winamac
217;America/Montserrat
102;Asia/Kashgar
162;Asia/Pontianak
98;Pacific/Easter
312;Africa/Tunis
144;America/Godthab
51;America/Santarem
208;Africa/Bamako
298;America/Paramaribo
87;America/Blanc-Sablon
42;Asia/Brunei
303;Africa/Mbabane
344;America/Metlakatla
274;Asia/Novokuznetsk
286;Pacific/Guadalcanal
96;Africa/Abidjan
71;America/Winnipeg
139;America/Grenada
50;America/Bahia
155;America/Tegucigalpa
92;Africa/Kinshasa
151;Pacific/Guam
4;America/Antigua
269;Europe/Moscow
252;Pacific/Marquesas
167;Asia/Tehran
125;Europe/Madrid
221;Africa/Blantyre
215;America/Martinique
149;Europe/Athens
227;America/Hermosillo
101;Asia/Urumqi
260;Asia/Hebron
187;Asia/Almaty
54;America/Sao_Paulo
62;Asia/Thimphu
9;America/Argentina/Cordoba
343;America/Sitka
356;America/St_Vincent
22;Australia/Perth
136;Europe/Paris
57;America/Rio_Branco
117;America/Santo_Domingo
124;Africa/Asmara
364;Indian/Mayotte
197;Europe/Luxembourg
73;America/Atikokan
361;Pacific/Wallis
354;Asia/Samarkand
360;Pacific/Efate
254;Asia/Manila
185;Asia/Aqtobe
11;America/Argentina/Salta
358;America/St_Thomas
357;America/Caracas
220;Indian/Maldives
279;Asia/Vladivostok
306;Africa/Lome
272;Europe/Samara
351;America/Adak
200;Africa/Casablanca
97;America/Santiago
349;Pacific/Honolulu
299;Africa/Juba
330;America/Indiana/Marengo
347;America/North_Dakota/Center
316;Pacific/Funafuti
147;America/Guadeloupe
99;Africa/Douala
199;Africa/Tripoli
60;America/Boa_Vista
342;America/Juneau
341;America/Shiprock
339;America/Los_Angeles
337;America/Menominee
321;Europe/Zaporozhye
255;Asia/Karachi
103;Asia/Shanghai
226;America/Cancun
332;America/Indiana/Vevay
329;America/Kentucky/Louisville
325;America/New_York
301;America/El_Salvador
72;America/Regina
248;Asia/Muscat
320;Europe/Kiev
207;Europe/Skopje
118;Africa/Algiers
94;Africa/Brazzaville
46;America/Recife
318;Africa/Dar_es_Salaam
116;America/Dominica
317;Asia/Taipei
346;America/North_Dakota/Beulah
209;Asia/Rangoon
313;Pacific/Tongatapu
234;Asia/Kuala_Lumpur
308;Asia/Dushanbe
311;Asia/Ashgabat
236;Africa/Maputo
65;America/Belize
287;Indian/Mahe
39;Africa/Bujumbura
137;Africa/Libreville
194;Africa/Monrovia
27;Australia/Hobart
66;America/Vancouver
158;Europe/Budapest
307;Asia/Bangkok
355;Asia/Tashkent
174;Africa/Nairobi
278;Asia/Irkutsk
134;Pacific/Pohnpei
304;Africa/Ndjamena
297;Africa/Mogadishu
296;Africa/Dakar
142;Europe/Guernsey
122;Africa/Cairo
362;Pacific/Apia
289;Europe/Stockholm
288;Africa/Khartoum
247;Pacific/Chatham
148;Africa/Malabo
310;Asia/Dili
284;Africa/Kigali
283;Asia/Anadyr
282;Asia/Sakhalin
63;Africa/Gaborone
281;Asia/Magadan
133;Pacific/Kosrae
280;Asia/Kamchatka
276;Asia/Krasnoyarsk
273;Europe/Kaliningrad
353;America/Montevideo
270;Asia/Yekaterinburg
268;Europe/Belgrade
19;America/Argentina/Mendoza
