Ăренпур;51.7727;55.0988;2687;270
Çĕмĕрле;55.5005;46.41288;2690;269
Çĕн çĕпĕр;55.0415;82.9346;2703;275
Çĕнĕ орлеан;29.95465;-90.07507;3446;324
Çĕнĕ шупашкар;56.11095;47.47755;2690;269
Cереднє;48.54043;22.50696;3430;322
Cосниця;51.52387;32.49985;3419;320
Çтерлĕ;53.62462;55.95015;2658;270
Cторожниця;48.60403;22.23269;3430;322
Cтрабичово;48.39247;22.54308;3430;322
Ĕпхӳ;54.74306;55.96779;2658;270
Mилан;45.46427;9.18951;1315;169
Oпштина бијело поље;43.03834;19.74758;1843;203
Аален;48.83777;10.0933;685;112
Аарау;47.39254;8.04422;488;95
Аарберг;47.04439;7.27578;486;95
Ааршот;50.98715;4.83695;246;35
Аахен;50.77664;6.08342;689;112
Аба;5.10658;7.36667;2237;240
Абагур;53.7308;87.2526;2696;274
Абадан;30.3392;48.3043;1284;167
Абадзехская;44.39389;40.22139;2691;269
Абаза;52.655;90.09278;2707;276
Абай;49.63574;72.86164;1531;187
Абакан;53.71556;91.42917;2707;276
Абалак;58.12861;68.59444;2704;270
Абан;56.6787;96.0658;2698;276
Абанкай;-13.63389;-72.88139;2373;250
Абано терме;45.36099;11.79141;1310;169
Абано-терме;45.36099;11.79141;1310;169
Абасири;44.02127;144.26971;1397;173
Абасоло;20.45001;-101.53;2163;223
Абасоло;24.05844;-98.37333;2135;222
Абатский;56.28748;70.45553;2704;270
Абатское;56.28748;70.45553;2704;270
Абаша;42.20959;42.22111;965;140
Абаэте;-19.16;-45.44583;357;54
Аббевіль;50.1;1.83333;937;136
Аббиатеграссо;45.39821;8.91678;1315;169
Абботсфорд;49.05798;-122.25257;432;66
Абвиј;50.1;1.83333;937;136
Абвил;50.1;1.83333;937;136
Абвиль;50.1;1.83333;937;136
Абдулино;53.7;53.66667;2687;270
Абдураҳмони ҷомӣ;37.94636;68.80878;3215;308
Абевил;50.1;1.83333;937;136
Абенгуру;6.72972;-3.49639;527;96
Абенсберг;48.81684;11.8498;686;112
Абеокута;7.15;3.35;2242;240
Абергавенни;51.82098;-3.01743;954;138
Абергейвенні;51.82098;-3.01743;954;138
Абердер;51.71438;-3.44918;954;138
