2384;East Sepik, Papua New Guinea
905;Oulu, Finland
3616;Bac Ninh, Vietnam
1395;Miyagi, Japan
1444;Batken, Kyrgyzstan
141;Vardoe, Aland Islands
392;Thimphu, Bhutan
2038;Iz-Zebbug, Malta
1975;Tombouctou, Mali
844;Suhaj, Egypt
1586;Gamprin, Liechtenstein
832;Tartu, Estonia
1938;Novaci, Macedonia
2980;Crensovci, Slovenia
1883;Namu Atoll, Marshall Islands
1950;Kocani, Macedonia
2002;OEmnoegovi, Mongolia
2941;Komen, Slovenia
1155;Borsod-Abauj-Zemplen, Hungary
1119;Vukovarsko-Srijemska, Croatia
1831;Podgorica, Montenegro
2165;Baja California Sur, Mexico
691;Brandenburg, Germany
1733;Carnikavas Novads, Latvia
2364;Lambayeque, Peru
2222;Bauchi, Nigeria
3166;Samut Songkhram, Thailand
2236;Edo, Nigeria
1775;Doukkala-Abda, Morocco
594;Caldas, Colombia
1112;Santa Barbara, Honduras
1275;Gilan, Iran
326;Temburong, Brunei
700;Obock, Djibouti
1954;Makedonska Kamenica, Macedonia
1693;Mazsalaca, Latvia
805;Carchi, Ecuador
1306;Sardinia, Italy
1757;Misratah, Libya
2346;Panama, Panama
2977;Destrnik, Slovenia
2702;Khanty-Mansiyskiy Avtonomnyy Okrug, Russia
460;Basse-Kotto, Central African Republic
2077;L-Iklin, Malta
458;Haute-Kotto, Central African Republic
3523;Saint Andrew, Saint Vincent and the Grenadines
36;Zabul, Afghanistan
2658;Bashkortostan, Russia
450;Equateur, Democratic Republic of the Congo
1560;Liban-Nord, Lebanon
433;Quebec, Canada
1907;Kisela Voda, Macedonia
3656;Komuna e Mamushes, Kosovo
3258;Qibili, Tunisia
211;Mingacevir City, Azerbaijan
1643;Ventspils Rajons, Latvia
314;Queme, Benin
1689;Nereta, Latvia
1999;Arhangay, Mongolia
952;Ogooue-Ivindo, Gabon
557;Yunnan, China
1230;Uttarakhand, India
1296;Khorasan-e Jonubi, Iran
3329;Trabzon, Turkey
214;Kurdamir Rayon, Azerbaijan
38;Kabul, Afghanistan
2828;Trbovlje, Slovenia
1663;Saldus Rajons, Latvia
1135;Koprivnicko-Krizevacka, Croatia
713;Saint George, Dominica
2851;Slovenj Gradec, Slovenia
2914;Miklavz na Dravskem Polju, Slovenia
1017;Thessaly, Greece
3111;Biltine, Chad
2655;North Ossetia, Russia
1052;Santa Rita, Guam
2446;Saint-Pierre, Saint Pierre and Miquelon
411;Central, Botswana
722;San Cristobal, Dominican Republic
1697;Ludzas Rajons, Latvia
2024;Nouakchott, Mauritania
2717;Kamtsjatka, Russia
